sr,halo_beta,contrast_mag,sep_arcsec,bias_default,bias_psf_clean,epsf_tag,refusal_note
0.15,4.765,0.0,0.1,-0.06603943820103564,0.013911958468783375,strict,
0.15,4.765,0.0,0.15,-0.06153022628561687,0.0037179192911044323,strict,
0.15,4.765,0.0,0.2,-0.07128009532204123,0.007789522088817863,strict,
0.15,4.765,0.0,0.3,-0.07351728796442364,0.007701299845863291,strict,
0.15,4.765,0.0,0.45,-0.07296885115491125,0.0007455272347009212,strict,
0.15,4.765,0.0,0.6,-0.06643922365436827,0.011526468326207712,strict,
0.15,4.765,0.0,0.8,-0.05821776443784944,0.006639884650382122,strict,
0.15,4.765,0.0,1.0,-0.01885475033625103,0.005422022465238485,strict,
0.15,4.765,0.0,1.2,0.17372157108273326,0.018918687437144227,strict,
0.15,4.765,0.0,0.1,-0.061610069593318925,0.012503667783342998,strict,
0.15,4.765,0.0,0.15,-0.0652243605899496,-0.011501475828722657,strict,
0.15,4.765,0.0,0.2,-0.07620805540819864,-0.0006459996508572652,strict,
0.15,4.765,0.0,0.3,-0.07503868678274411,0.002496621204622629,strict,
0.15,4.765,0.0,0.45,-0.07164846155190473,0.009311629889535683,strict,
0.15,4.765,0.0,0.6,-0.06102248488303466,0.022284436460844687,strict,
0.15,4.765,0.0,0.8,-0.058028864874511046,0.00021884333496716146,strict,
0.15,4.765,0.0,1.0,-0.0171106300539548,0.0069726891963313165,strict,
0.15,4.765,0.0,1.2,0.10593197094062226,-0.006177522293543541,strict,
0.15,4.765,0.0,0.1,-0.07055515675343636,0.008923321080758134,strict,
0.15,4.765,0.0,0.15,-0.0750460843366182,-0.00038140195494634765,strict,
0.15,4.765,0.0,0.2,-0.08144618013941726,-0.011412852031799037,strict,
0.15,4.765,0.0,0.3,-0.0752985105204975,0.0029893411691087612,strict,
0.15,4.765,0.0,0.45,-0.07676696689519756,-0.0014360390277891877,strict,
0.15,4.765,0.0,0.6,-0.07422648224350391,-0.0037767925492644405,strict,
0.15,4.765,0.0,0.8,-0.05797859585829082,0.00452976314887385,strict,
0.15,4.765,0.0,1.0,-0.020624814045774015,0.004020747484218573,strict,
0.15,4.765,0.0,1.2,0.1436193093222113,0.010723463231459895,strict,
0.15,4.765,1.0,0.1,-0.0421856314965105,-0.0016302285714132891,strict,
0.15,4.765,1.0,0.15,-0.04267093025462783,-5.681564683565621e-05,strict,
0.15,4.765,1.0,0.2,-0.04626996537860564,-0.00406075209744855,strict,
0.15,4.765,1.0,0.3,-0.03253218147665751,0.014789336074854137,strict,
0.15,4.765,1.0,0.45,-0.040541859579139014,0.001374187031442431,strict,
0.15,4.765,1.0,0.6,-0.031969767861401654,0.010786935501518102,strict,
0.15,4.765,1.0,0.8,-0.024009606197147565,0.009811087321162204,strict,
0.15,4.765,1.0,1.0,0.006682124254392796,0.018386974693628294,strict,
0.15,4.765,1.0,1.2,0.06158826296580683,0.02056380334741667,strict,
0.15,4.765,1.0,0.1,-0.03884133725759503,0.006656015784503255,strict,
0.15,4.765,1.0,0.15,-0.04475327676204614,-0.005616900718944773,strict,
0.15,4.765,1.0,0.2,-0.03819264318662953,0.0072260285288100745,strict,
0.15,4.765,1.0,0.3,-0.039059782113918126,0.00734776970065304,strict,
0.15,4.765,1.0,0.45,-0.036752240435588626,0.007739836849819076,strict,
0.15,4.765,1.0,0.6,-0.03005807785950665,0.013553358015964079,strict,
0.15,4.765,1.0,0.8,-0.03754156354681604,-0.0089104205558172,strict,
0.15,4.765,1.0,1.0,-0.007132634303671559,0.002976629608796466,strict,
0.15,4.765,1.0,1.2,0.027146269813155988,-0.0048536420944387815,strict,
0.15,4.765,1.0,0.1,-0.047681846995216756,-0.009405527291853066,strict,
0.15,4.765,1.0,0.15,-0.03888031316504585,0.007874348480883725,strict,
0.15,4.765,1.0,0.2,-0.04374673233487848,-0.0014782699516380227,strict,
0.15,4.765,1.0,0.3,-0.03354556244623279,0.018040709118654463,strict,
0.15,4.765,1.0,0.45,-0.03665896107687458,0.009271655586601285,strict,
0.15,4.765,1.0,0.6,-0.034511756862069434,0.006026626905507565,strict,
0.15,4.765,1.0,0.8,-0.03709883596860608,-0.008200834206624652,strict,
0.15,4.765,1.0,1.0,-0.013837021122385912,-0.004347711485517047,strict,
0.15,4.765,1.0,1.2,0.04038653244459653,0.005947903299044405,strict,
0.15,4.765,2.0,0.1,-0.023595194761279553,-0.00211327180727211,strict,
0.15,4.765,2.0,0.15,-0.017621976074896822,0.004812964148949217,strict,
0.15,4.765,2.0,0.2,-0.014820616749414844,0.006164066351003944,strict,
0.15,4.765,2.0,0.3,-0.021841856177256896,-0.0019987691103598992,strict,
0.15,4.765,2.0,0.45,-0.009790849986829026,0.010320256758387408,strict,
0.15,4.765,2.0,0.6,-0.012797558751636462,0.006574653874561354,strict,
0.15,4.765,2.0,0.8,-0.010061883447027437,0.005490537898867359,strict,
0.15,4.765,2.0,1.0,-0.00392251166038593,4.887776613490824e-05,strict,
0.15,4.765,2.0,1.2,0.01132229275288335,-0.001392032651447772,strict,
0.15,4.765,2.0,0.1,-0.022684686860938608,-0.0022309665490721775,strict,
0.15,4.765,2.0,0.15,-0.014024010362451128,0.0060802758494280795,strict,
0.15,4.765,2.0,0.2,-0.020753608700616183,-0.0017233023188212016,strict,
0.15,4.765,2.0,0.3,-0.007761624738714529,0.013510084959915403,strict,
0.15,4.765,2.0,0.45,-0.009770722030975648,0.014172850876011944,strict,
0.15,4.765,2.0,0.6,-0.020831514575275017,-0.0012599451741399648,strict,
0.15,4.765,2.0,0.8,-0.012990442932607288,0.00028645155421863633,strict,
0.15,4.765,2.0,1.0,0.00322867369173363,0.00799474654771365,strict,
0.15,4.765,2.0,1.2,-0.0018912543418244387,-0.011280641319695583,strict,
0.15,4.765,2.0,0.1,-0.024147440540706555,-0.004712514243496446,strict,
0.15,4.765,2.0,0.15,-0.013467214705567165,0.008897736002390966,strict,
0.15,4.765,2.0,0.2,-0.01604103058250561,0.009348007925786744,strict,
0.15,4.765,2.0,0.3,-0.014564584003793069,0.006512293984785311,strict,
0.15,4.765,2.0,0.45,-0.015723424864835245,0.004384084526171644,strict,
0.15,4.765,2.0,0.6,-0.015163253286908124,0.006086435594661377,strict,
0.15,4.765,2.0,0.8,-0.013790188146974913,0.0003721406706448105,strict,
0.15,4.765,2.0,1.0,0.0015825940951577355,0.006041076380899013,strict,
0.15,4.765,2.0,1.2,0.022446766205872992,0.011061290298509246,strict,
0.15,4.765,3.0,0.1,-0.004529652964948866,0.006769061487129552,strict,
0.15,4.765,3.0,0.15,-0.007505727512120669,0.0023005213531791247,strict,
0.15,4.765,3.0,0.2,-0.008925899198245824,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.15,4.765,3.0,0.3,-0.012006988272224545,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.15,4.765,3.0,0.45,-0.008417175656811715,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.15,4.765,3.0,0.6,-0.008755108687698576,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.15,4.765,3.0,0.8,-0.008712886938138986,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.15,4.765,3.0,1.0,-0.013766136561332604,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.15,4.765,3.0,1.2,0.01882458303804435,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.15,4.765,3.0,0.1,-0.009484404638949784,-0.00010864229429496941,strict,
0.15,4.765,3.0,0.15,-0.006004080147203966,0.004536822014805014,strict,
0.15,4.765,3.0,0.2,-0.004166726303263563,0.00467277371739952,strict,
0.15,4.765,3.0,0.3,-0.00361013036623109,,strict,cleaning refused: every candidate was either dropped by the fit or saturated (0 saturated of 1)
0.15,4.765,3.0,0.45,-0.0025478604080072242,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.15,4.765,3.0,0.6,-0.011698503763775236,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.15,4.765,3.0,0.8,-0.0031941693155891904,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.15,4.765,3.0,1.0,-0.005427619154428326,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.15,4.765,3.0,1.2,-0.00021595323464054794,-0.004127939624824661,strict,
