# ao_strehl_timeline predicted Strehl vs time
# night=2026-05-24 telescope=K1 tomography=on target=on wavelength=K-band (2200 nm)
# budget=refined-2026-07 tt_star=R15.2@19.3arcsec lgs_offset=4.97arcsec ngs_offset=0arcsec ltao_bw_factor=1.443(floor_frac=0.7) ltao_tt_theta0_gain=1 ngs_seeing_law=kolmogorov(anchor_sK=0.3) assumed_theta0=15arcsec(K,zenith)
# merged timeline, two row types by source= column:
#   source=dimm : one row per DIMM sample -- dimm seeing, r0, NGS Strehl (MASS-derived cols blank)
#   source=mass : one row per MASS profile -- mass seeing, LGS/LTAO Strehl, theta0, d0, plus the matched DIMM total seeing used as input (NGS cols blank)
# Strehl columns + theta0 are at the science wavelength; seeing columns are 500nm LINE-OF-SIGHT (zenith x airmass^(3/5)); r0 is 500nm at ZENITH; d0 is wavelength-independent (m)
# err_*_nm columns: per-sample error-budget terms in nm RMS on mass rows (line-of-sight-projected inputs). err_focal_single is the single-beacon focal-aniso (cone) term; err_alt_ltao is tomography + quadratic layer-mismatch. Fixed terms not tabulated: HO measurement 63.3, Na focus 42, static 122.5 (=K1: tel-aberr 74.7 + WFS-calib 57.9 + DM 33.6 + AO/instr 67.1 + registration 21.2, quad), margin 130 nm.
source,utc_iso,hst_iso,dimm_seeing_arcsec_los,mass_seeing_arcsec_los,zenith_factor,airmass,r0_cm_500nm,ngs_R8_strehl,ngs_R12_strehl,single_lgs_strehl,ltao_strehl,theta0_arcsec,d0_m,layer_mismatch,ngs_theta0_arcsec,err_fit_nm,err_scint_nm,err_ang_nm,err_bw_single_nm,err_bw_ltao_nm,err_focal_single_nm,err_alt_ltao_nm,err_tt_nm
dimm,2026-05-25T05:59:21,2026-05-24T19:59:21,0.7300,,1.0000,1.0000,13.85,0.4258,0.3888,,,,,,,,,,,,,,
dimm,2026-05-25T06:00:46,2026-05-24T20:00:46,0.7400,,1.0000,1.0000,13.66,0.4232,0.3864,,,,,,,,,,,,,,
dimm,2026-05-25T06:02:09,2026-05-24T20:02:09,0.7500,,1.0000,1.0000,13.48,0.4205,0.3840,,,,,,,,,,,,,,
dimm,2026-05-25T06:03:29,2026-05-24T20:03:29,0.9100,,1.0000,1.0000,11.11,0.3774,0.3441,,,,,,,,,,,,,,
dimm,2026-05-25T06:04:52,2026-05-24T20:04:52,0.8500,,1.0000,1.0000,11.89,0.3937,0.3592,,,,,,,,,,,,,,
dimm,2026-05-25T06:06:15,2026-05-24T20:06:15,0.8300,,1.0000,1.0000,12.18,0.3991,0.3642,,,,,,,,,,,,,,
dimm,2026-05-25T06:07:41,2026-05-24T20:07:41,0.7800,,1.0000,1.0000,12.96,0.4126,0.3766,,,,,,,,,,,,,,
dimm,2026-05-25T06:09:04,2026-05-24T20:09:04,0.7200,,1.0000,1.0000,14.04,0.4284,0.3912,,,,,,,,,,,,,,
dimm,2026-05-25T06:10:28,2026-05-24T20:10:28,0.8700,,1.0000,1.0000,11.62,0.3883,0.3542,,,,,,,,,,,,,,
dimm,2026-05-25T06:11:52,2026-05-24T20:11:52,0.6800,,1.0000,1.0000,14.86,0.4388,0.4008,,,,,,,,,,,,,,
dimm,2026-05-25T06:13:17,2026-05-24T20:13:17,0.8500,,1.0000,1.0000,11.89,0.3937,0.3592,,,,,,,,,,,,,,
dimm,2026-05-25T06:14:42,2026-05-24T20:14:42,0.6900,,1.0000,1.0000,14.65,0.4363,0.3984,,,,,,,,,,,,,,
dimm,2026-05-25T06:17:33,2026-05-24T20:17:33,0.9100,,1.0000,1.0000,11.11,0.3774,0.3441,,,,,,,,,,,,,,
dimm,2026-05-25T06:19:03,2026-05-24T20:19:03,1.0000,,1.0000,1.0000,10.11,0.3527,0.3214,,,,,,,,,,,,,,
