# ao_strehl_timeline predicted Strehl vs time
# night=2026-07-06 telescope=K2 tomography=off target=on wavelength=K-band (2200 nm)
# budget=refined-2026-07 tt_star=R15.2@19.3arcsec lgs_offset=0arcsec ngs_offset=0arcsec ltao_bw_factor=1.443(floor_frac=0.7) ltao_tt_theta0_gain=1 ngs_seeing_law=kolmogorov(anchor_sK=0.3) assumed_theta0=15arcsec(K,zenith)
# merged timeline, two row types by source= column:
#   source=dimm : one row per DIMM sample -- dimm seeing, r0, NGS Strehl (MASS-derived cols blank)
#   source=mass : one row per MASS profile -- mass seeing, LGS/LTAO Strehl, theta0, d0, plus the matched DIMM total seeing used as input (NGS cols blank)
# Strehl columns + theta0 are at the science wavelength; seeing columns are 500nm LINE-OF-SIGHT (zenith x airmass^(3/5)); r0 is 500nm at ZENITH; d0 is wavelength-independent (m)
# err_*_nm columns: per-sample error-budget terms in nm RMS on mass rows (line-of-sight-projected inputs). err_focal_single is the single-beacon focal-aniso (cone) term; err_alt_ltao is tomography + quadratic layer-mismatch. Fixed terms not tabulated: HO measurement 63.3, Na focus 42, static 109.2 (=K2: tel-aberr 50.0 + WFS-calib 57.9 + DM 33.6 + AO/instr 67.1 + registration 21.2, quad), margin 130 nm.
source,utc_iso,hst_iso,dimm_seeing_arcsec_los,mass_seeing_arcsec_los,zenith_factor,airmass,r0_cm_500nm,ngs_R8.2_strehl,ngs_R12_strehl,single_lgs_strehl,ltao_strehl,theta0_arcsec,d0_m,layer_mismatch,ngs_theta0_arcsec,err_fit_nm,err_scint_nm,err_ang_nm,err_bw_single_nm,err_bw_ltao_nm,err_focal_single_nm,err_alt_ltao_nm,err_tt_nm
dimm,2026-07-07T06:24:28,2026-07-06T20:24:28,0.7000,,1.0000,1.0000,14.44,0.6149,0.4471,,,,,,,,,,,,,,
dimm,2026-07-07T06:25:53,2026-07-06T20:25:53,0.6700,,1.0000,1.0000,15.09,0.6221,0.4524,,,,,,,,,,,,,,
dimm,2026-07-07T06:27:22,2026-07-06T20:27:22,0.6300,,1.0000,1.0000,16.04,0.6316,0.4593,,,,,,,,,,,,,,
dimm,2026-07-07T06:28:51,2026-07-06T20:28:51,0.7600,,1.0000,1.0000,13.30,0.6000,0.4363,,,,,,,,,,,,,,
dimm,2026-07-07T06:30:18,2026-07-06T20:30:18,0.7700,,1.0000,1.0000,13.13,0.5975,0.4345,,,,,,,,,,,,,,
dimm,2026-07-07T06:31:43,2026-07-06T20:31:43,0.6400,,1.0000,1.0000,15.79,0.6293,0.4576,,,,,,,,,,,,,,
dimm,2026-07-07T06:33:12,2026-07-06T20:33:12,0.6800,,1.0000,1.0000,14.86,0.6197,0.4507,,,,,,,,,,,,,,
dimm,2026-07-07T06:34:39,2026-07-06T20:34:39,0.8300,,1.0000,1.0000,12.18,0.5822,0.4234,,,,,,,,,,,,,,
dimm,2026-07-07T06:36:07,2026-07-06T20:36:07,0.7600,,1.0000,1.0000,13.30,0.6000,0.4363,,,,,,,,,,,,,,
dimm,2026-07-07T06:37:35,2026-07-06T20:37:35,0.7300,,1.0000,1.0000,13.85,0.6075,0.4418,,,,,,,,,,,,,,
dimm,2026-07-07T06:39:05,2026-07-06T20:39:05,0.7500,,1.0000,1.0000,13.48,0.6025,0.4382,,,,,,,,,,,,,,
dimm,2026-07-07T06:40:33,2026-07-06T20:40:33,0.6600,,1.0000,1.0000,15.31,0.6245,0.4542,,,,,,,,,,,,,,
dimm,2026-07-07T06:42:03,2026-07-06T20:42:03,0.8800,,1.0000,1.0000,11.49,0.5691,0.4139,,,,,,,,,,,,,,
dimm,2026-07-07T06:43:32,2026-07-06T20:43:32,0.7900,,1.0000,1.0000,12.79,0.5924,0.4308,,,,,,,,,,,,,,
dimm,2026-07-07T06:45:44,2026-07-06T20:45:44,0.7900,,1.0000,1.0000,12.79,0.5924,0.4308,,,,,,,,,,,,,,
dimm,2026-07-07T06:48:43,2026-07-06T20:48:43,0.7700,,1.0000,1.0000,13.13,0.5975,0.4345,,,,,,,,,,,,,,
dimm,2026-07-07T06:50:39,2026-07-06T20:50:39,0.8400,,1.0000,1.0000,12.03,0.5796,0.4215,,,,,,,,,,,,,,
dimm,2026-07-07T06:52:46,2026-07-06T20:52:46,0.8300,,1.0000,1.0000,12.18,0.5822,0.4234,,,,,,,,,,,,,,
dimm,2026-07-07T06:54:21,2026-07-06T20:54:21,0.8100,,1.0000,1.0000,12.48,0.5873,0.4271,,,,,,,,,,,,,,
dimm,2026-07-07T06:55:59,2026-07-06T20:55:59,0.8600,,1.0000,1.0000,11.75,0.5744,0.4177,,,,,,,,,,,,,,
dimm,2026-07-07T06:57:31,2026-07-06T20:57:31,0.8200,,1.0000,1.0000,12.33,0.5848,0.4252,,,,,,,,,,,,,,
dimm,2026-07-07T06:59:05,2026-07-06T20:59:05,0.7200,,1.0000,1.0000,14.04,0.6100,0.4436,,,,,,,,,,,,,,
dimm,2026-07-07T07:00:38,2026-07-06T21:00:38,0.6900,,1.0000,1.0000,14.65,0.6173,0.4489,,,,,,,,,,,,,,
dimm,2026-07-07T07:02:15,2026-07-06T21:02:15,0.8200,,1.0000,1.0000,12.33,0.5848,0.4252,,,,,,,,,,,,,,
dimm,2026-07-07T07:04:09,2026-07-06T21:04:09,0.6900,,1.0000,1.0000,14.65,0.6173,0.4489,,,,,,,,,,,,,,
dimm,2026-07-07T07:06:16,2026-07-06T21:06:16,0.7600,,1.0000,1.0000,13.30,0.6000,0.4363,,,,,,,,,,,,,,
dimm,2026-07-07T07:07:54,2026-07-06T21:07:54,0.6300,,1.0000,1.0000,16.04,0.6316,0.4593,,,,,,,,,,,,,,
dimm,2026-07-07T07:09:32,2026-07-06T21:09:32,0.6200,,1.0000,1.0000,16.30,0.6339,0.4610,,,,,,,,,,,,,,
dimm,2026-07-07T07:11:10,2026-07-06T21:11:10,0.5900,,1.0000,1.0000,17.13,0.6408,0.4660,,,,,,,,,,,,,,
dimm,2026-07-07T07:12:51,2026-07-06T21:12:51,0.6100,,1.0000,1.0000,16.57,0.6362,0.4627,,,,,,,,,,,,,,
dimm,2026-07-07T07:14:31,2026-07-06T21:14:31,0.6500,,1.0000,1.0000,15.55,0.6269,0.4559,,,,,,,,,,,,,,
dimm,2026-07-07T07:17:56,2026-07-06T21:17:56,0.7500,,1.0000,1.0000,13.48,0.6025,0.4382,,,,,,,,,,,,,,
dimm,2026-07-07T07:19:41,2026-07-06T21:19:41,0.6600,,1.0000,1.0000,15.31,0.6245,0.4542,,,,,,,,,,,,,,
dimm,2026-07-07T07:21:21,2026-07-06T21:21:21,0.8200,,1.0000,1.0000,12.33,0.5848,0.4252,,,,,,,,,,,,,,
dimm,2026-07-07T07:26:06,2026-07-06T21:26:06,1.0600,,1.0000,1.0000,9.53,0.5208,0.3787,,,,,,,,,,,,,,
dimm,2026-07-07T07:27:49,2026-07-06T21:27:49,0.9500,,1.0000,1.0000,10.64,0.5506,0.4004,,,,,,,,,,,,,,
dimm,2026-07-07T07:29:33,2026-07-06T21:29:33,0.7400,,1.0000,1.0000,13.66,0.6050,0.4400,,,,,,,,,,,,,,
dimm,2026-07-07T07:31:18,2026-07-06T21:31:18,0.7500,,1.0000,1.0000,13.48,0.6025,0.4382,,,,,,,,,,,,,,
dimm,2026-07-07T07:32:59,2026-07-06T21:32:59,0.7900,,1.0000,1.0000,12.79,0.5924,0.4308,,,,,,,,,,,,,,
dimm,2026-07-07T07:34:45,2026-07-06T21:34:45,0.7900,,1.0000,1.0000,12.79,0.5924,0.4308,,,,,,,,,,,,,,
dimm,2026-07-07T07:36:31,2026-07-06T21:36:31,0.7800,,1.0000,1.0000,12.96,0.5950,0.4327,,,,,,,,,,,,,,
dimm,2026-07-07T07:38:16,2026-07-06T21:38:16,0.6800,,1.0000,1.0000,14.86,0.6197,0.4507,,,,,,,,,,,,,,
dimm,2026-07-07T07:40:04,2026-07-06T21:40:04,0.7000,,1.0000,1.0000,14.44,0.6149,0.4471,,,,,,,,,,,,,,
dimm,2026-07-07T07:41:49,2026-07-06T21:41:49,0.7100,,1.0000,1.0000,14.24,0.6124,0.4454,,,,,,,,,,,,,,
dimm,2026-07-07T07:43:37,2026-07-06T21:43:37,0.6400,,1.0000,1.0000,15.79,0.6293,0.4576,,,,,,,,,,,,,,
dimm,2026-07-07T07:45:27,2026-07-06T21:45:27,0.7300,,1.0000,1.0000,13.85,0.6075,0.4418,,,,,,,,,,,,,,
dimm,2026-07-07T07:47:19,2026-07-06T21:47:19,0.6900,,1.0000,1.0000,14.65,0.6173,0.4489,,,,,,,,,,,,,,
dimm,2026-07-07T07:49:06,2026-07-06T21:49:06,0.7100,,1.0000,1.0000,14.24,0.6124,0.4454,,,,,,,,,,,,,,
dimm,2026-07-07T07:50:54,2026-07-06T21:50:54,0.8500,,1.0000,1.0000,11.89,0.5770,0.4196,,,,,,,,,,,,,,
dimm,2026-07-07T07:52:45,2026-07-06T21:52:45,0.7900,,1.0000,1.0000,12.79,0.5924,0.4308,,,,,,,,,,,,,,
dimm,2026-07-07T07:54:37,2026-07-06T21:54:37,0.6700,,1.0000,1.0000,15.09,0.6221,0.4524,,,,,,,,,,,,,,
dimm,2026-07-07T07:56:29,2026-07-06T21:56:29,0.8400,,1.0000,1.0000,12.03,0.5796,0.4215,,,,,,,,,,,,,,
dimm,2026-07-07T07:58:23,2026-07-06T21:58:23,0.6900,,1.0000,1.0000,14.65,0.6173,0.4489,,,,,,,,,,,,,,
dimm,2026-07-07T08:04:37,2026-07-06T22:04:37,0.6600,,1.0000,1.0000,15.31,0.6245,0.4542,,,,,,,,,,,,,,
dimm,2026-07-07T08:06:25,2026-07-06T22:06:25,0.6800,,1.0000,1.0000,14.86,0.6197,0.4507,,,,,,,,,,,,,,
dimm,2026-07-07T08:07:46,2026-07-06T22:07:46,0.6600,,1.0000,1.0000,15.31,0.6245,0.4542,,,,,,,,,,,,,,
dimm,2026-07-07T08:09:10,2026-07-06T22:09:10,0.7500,,1.0000,1.0000,13.48,0.6025,0.4382,,,,,,,,,,,,,,
dimm,2026-07-07T08:10:32,2026-07-06T22:10:32,0.6500,,1.0000,1.0000,15.55,0.6269,0.4559,,,,,,,,,,,,,,
dimm,2026-07-07T08:11:56,2026-07-06T22:11:56,0.6200,,1.0000,1.0000,16.30,0.6339,0.4610,,,,,,,,,,,,,,
dimm,2026-07-07T08:13:19,2026-07-06T22:13:19,0.6300,,1.0000,1.0000,16.04,0.6316,0.4593,,,,,,,,,,,,,,
dimm,2026-07-07T08:14:46,2026-07-06T22:14:46,0.7400,,1.0000,1.0000,13.66,0.6050,0.4400,,,,,,,,,,,,,,
dimm,2026-07-07T08:16:12,2026-07-06T22:16:12,0.6800,,1.0000,1.0000,14.86,0.6197,0.4507,,,,,,,,,,,,,,
dimm,2026-07-07T08:17:38,2026-07-06T22:17:38,0.6700,,1.0000,1.0000,15.09,0.6221,0.4524,,,,,,,,,,,,,,
dimm,2026-07-07T08:19:06,2026-07-06T22:19:06,0.6600,,1.0000,1.0000,15.31,0.6245,0.4542,,,,,,,,,,,,,,
dimm,2026-07-07T08:20:34,2026-07-06T22:20:34,0.6600,,1.0000,1.0000,15.31,0.6245,0.4542,,,,,,,,,,,,,,
dimm,2026-07-07T08:22:01,2026-07-06T22:22:01,0.6600,,1.0000,1.0000,15.31,0.6245,0.4542,,,,,,,,,,,,,,
dimm,2026-07-07T08:23:28,2026-07-06T22:23:28,0.6800,,1.0000,1.0000,14.86,0.6197,0.4507,,,,,,,,,,,,,,
dimm,2026-07-07T08:24:56,2026-07-06T22:24:56,0.6200,,1.0000,1.0000,16.30,0.6339,0.4610,,,,,,,,,,,,,,
dimm,2026-07-07T08:26:27,2026-07-06T22:26:27,0.6300,,1.0000,1.0000,16.04,0.6316,0.4593,,,,,,,,,,,,,,
dimm,2026-07-07T08:27:54,2026-07-06T22:27:54,0.6500,,1.0000,1.0000,15.55,0.6269,0.4559,,,,,,,,,,,,,,
dimm,2026-07-07T08:29:24,2026-07-06T22:29:24,0.7500,,1.0000,1.0000,13.48,0.6025,0.4382,,,,,,,,,,,,,,
dimm,2026-07-07T08:30:52,2026-07-06T22:30:52,0.8200,,1.0000,1.0000,12.33,0.5848,0.4252,,,,,,,,,,,,,,
dimm,2026-07-07T08:32:23,2026-07-06T22:32:23,0.7700,,1.0000,1.0000,13.13,0.5975,0.4345,,,,,,,,,,,,,,
dimm,2026-07-07T08:33:55,2026-07-06T22:33:55,0.7800,,1.0000,1.0000,12.96,0.5950,0.4327,,,,,,,,,,,,,,
dimm,2026-07-07T08:35:24,2026-07-06T22:35:24,0.7400,,1.0000,1.0000,13.66,0.6050,0.4400,,,,,,,,,,,,,,
